Target Distance: 200, Step Size: 20
1942: (x,y)=(0.428946,-72.7063)
1943: (x,y)=(-1.18909,-73.8819)
1944: (x,y)=(-1.46743,-75.8624)
1945: (x,y)=(-1.01753,-77.8111)
1946: (x,y)=(0.294586,-76.3017)
1947: (x,y)=(-0.852567,-77.94)
1948: (x,y)=(-1.99972,-79.5783)
1949: (x,y)=(-0.322378,-78.489)
1950: (x,y)=(-1.66064,-79.9753)
1951: (x,y)=(-0.375064,-78.4432)
1952: (x,y)=(-0.993098,-80.3454)
1953: (x,y)=(0.421115,-81.7596)
1954: (x,y)=(0.38621,-83.7593)
1955: (x,y)=(1.47549,-85.4366)
1956: (x,y)=(0.567508,-83.6546)
1957: (x,y)=(-1.35502,-84.2059)
1958: (x,y)=(-3.08707,-83.2059)
1959: (x,y)=(-1.4898,-84.4095)
1960: (x,y)=(-3.30241,-85.2547)
1961: (x,y)=(-5.20452,-85.8728)
1962: (x,y)=(-3.2094,-86.0123)
1963: (x,y)=(-3.34891,-88.0074)
1964: (x,y)=(-3.66178,-86.032)
1965: (x,y)=(-3.76645,-88.0293)
1966: (x,y)=(-5.44379,-86.94)
1967: (x,y)=(-7.41341,-86.5927)
1968: (x,y)=(-5.69907,-87.6228)
1969: (x,y)=(-7.11329,-89.037)
1970: (x,y)=(-5.25892,-88.2878)
1971: (x,y)=(-3.50968,-87.3182)
1972: (x,y)=(-3.23133,-89.2987)
1973: (x,y)=(-4.29117,-90.9948)
1974: (x,y)=(-3.64003,-92.8858)
1975: (x,y)=(-3.29274,-90.9162)
1976: (x,y)=(-3.15323,-88.9211)
1977: (x,y)=(-4.35686,-87.3238)
1978: (x,y)=(-5.74617,-88.7625)
1979: (x,y)=(-6.05904,-86.7871)
1980: (x,y)=(-4.59633,-88.1511)
1981: (x,y)=(-2.59664,-88.186)
1982: (x,y)=(-3.50462,-86.404)
1983: (x,y)=(-1.692,-85.5588)
1984: (x,y)=(0.199034,-86.2099)
1985: (x,y)=(1.04427,-88.0225)
1986: (x,y)=(1.88951,-89.8352)
1987: (x,y)=(3.27882,-91.2738)
1988: (x,y)=(4.3089,-89.5595)
1989: (x,y)=(2.55966,-90.5291)
1990: (x,y)=(1.19566,-89.0664)
1991: (x,y)=(-0.683722,-89.7505)
1992: (x,y)=(-2.67885,-89.6109)
1993: (x,y)=(-1.83361,-87.7983)
1994: (x,y)=(-3.58285,-86.8287)
1995: (x,y)=(-1.68074,-87.4467)
1996: (x,y)=(-3.67313,-87.2724)
1997: (x,y)=(-5.67191,-87.3422)
1998: (x,y)=(-6.12181,-85.3935)
1999: (x,y)=(-7.35314,-86.9695)
2000: (x,y)=(-5.55555,-86.0928)
2001: (x,y)=(-4.52547,-87.8071)
2002: (x,y)=(-5.91479,-86.3684)
2003: (x,y)=(-6.36469,-84.4197)
2004: (x,y)=(-8.02277,-83.3013)
2005: (x,y)=(-7.91809,-81.304)
2006: (x,y)=(-7.07286,-79.4914)
2007: (x,y)=(-8.16214,-77.8141)
2008: (x,y)=(-9.80044,-78.9612)
2009: (x,y)=(-11.1387,-77.4749)
2010: (x,y)=(-10.2935,-79.2876)
2011: (x,y)=(-12.2631,-79.6349)
2012: (x,y)=(-10.8244,-81.0242)
2013: (x,y)=(-12.4424,-82.1997)
2014: (x,y)=(-11.0784,-80.737)
2015: (x,y)=(-10.3944,-78.8576)
2016: (x,y)=(-8.68006,-77.8276)
2017: (x,y)=(-10.6554,-78.1404)
2018: (x,y)=(-12.2527,-76.9368)
2019: (x,y)=(-10.9941,-75.3825)
2020: (x,y)=(-10.1173,-73.5849)
2021: (x,y)=(-12.0806,-73.2033)
2022: (x,y)=(-13.5193,-74.5926)
2023: (x,y)=(-12.5496,-76.3419)
2024: (x,y)=(-13.5193,-74.5926)
2025: (x,y)=(-11.7872,-75.5926)
2026: (x,y)=(-9.8746,-75.0079)
2027: (x,y)=(-9.8746,-73.0079)
2028: (x,y)=(-11.8743,-72.973)
2029: (x,y)=(-12.9044,-74.6873)
2030: (x,y)=(-14.8995,-74.8268)
2031: (x,y)=(-13.9606,-73.0609)
2032: (x,y)=(-12.4511,-71.7488)
2033: (x,y)=(-13.4511,-73.4809)
2034: (x,y)=(-11.624,-74.2943)
2035: (x,y)=(-13.2821,-73.176)
2036: (x,y)=(-14.4858,-74.7732)
2037: (x,y)=(-15.5158,-73.0589)
2038: (x,y)=(-16.265,-71.2045)
2039: (x,y)=(-18.0309,-72.1435)
2040: (x,y)=(-18.8124,-73.9845)
2041: (x,y)=(-16.8637,-74.4344)
2042: (x,y)=(-15.0366,-73.6209)
2043: (x,y)=(-13.6224,-72.2067)
2044: (x,y)=(-14.1062,-70.2661)
2045: (x,y)=(-16.038,-70.7837)
2046: (x,y)=(-15.354,-72.6631)
2047: (x,y)=(-13.3735,-72.9415)
2048: (x,y)=(-15.2145,-73.7229)
2049: (x,y)=(-16.4181,-72.1257)
2050: (x,y)=(-14.8421,-70.8943)
2051: (x,y)=(-16.8272,-71.1381)
2052: (x,y)=(-18.8123,-71.3818)
2053: (x,y)=(-20.8111,-71.4516)
2054: (x,y)=(-18.9439,-70.7349)
2055: (x,y)=(-19.7891,-72.5475)
2056: (x,y)=(-18.3998,-73.9862)
2057: (x,y)=(-16.7037,-72.9263)
2058: (x,y)=(-18.7034,-72.8914)
2059: (x,y)=(-20.5578,-72.1422)
2060: (x,y)=(-21.5578,-73.8743)
2061: (x,y)=(-20.2722,-75.4064)
2062: (x,y)=(-18.5949,-76.4956)
2063: (x,y)=(-19.246,-74.6046)
2064: (x,y)=(-17.4801,-75.5435)
2065: (x,y)=(-17.515,-73.5438)
2066: (x,y)=(-16.3114,-71.9466)
2067: (x,y)=(-14.9993,-73.456)
2068: (x,y)=(-14.5494,-75.4047)
2069: (x,y)=(-15.2005,-77.2958)
2070: (x,y)=(-16.4861,-78.8279)
2071: (x,y)=(-17.0037,-76.896)
2072: (x,y)=(-16.0957,-75.114)
2073: (x,y)=(-16.2004,-77.1113)
2074: (x,y)=(-17.376,-75.4932)
2075: (x,y)=(-15.4006,-75.8061)
2076: (x,y)=(-15.0877,-73.8307)
2077: (x,y)=(-17.051,-73.4491)
2078: (x,y)=(-16.3669,-71.5697)
2079: (x,y)=(-18.3366,-71.917)
2080: (x,y)=(-19.0533,-73.7842)
2081: (x,y)=(-17.8497,-72.1869)
2082: (x,y)=(-16.5641,-70.6548)
2083: (x,y)=(-14.7231,-69.8733)
2084: (x,y)=(-15.5683,-71.686)
2085: (x,y)=(-13.7412,-72.4994)
2086: (x,y)=(-14.2925,-74.422)
2087: (x,y)=(-13.2624,-76.1363)
2088: (x,y)=(-12.8808,-78.0995)
2089: (x,y)=(-14.7218,-78.881)
2090: (x,y)=(-12.7731,-78.4311)
2091: (x,y)=(-14.7621,-78.6402)
2092: (x,y)=(-15.0405,-80.6207)
2093: (x,y)=(-15.1103,-82.6195)
2094: (x,y)=(-16.4224,-81.1101)
2095: (x,y)=(-14.6565,-80.1711)
2096: (x,y)=(-14.2407,-78.2148)
2097: (x,y)=(-13.271,-76.4656)
2098: (x,y)=(-11.3078,-76.084)
2099: (x,y)=(-12.8838,-74.8526)
2100: (x,y)=(-14.8471,-75.2343)
2101: (x,y)=(-12.8983,-74.7844)
2102: (x,y)=(-13.5495,-76.6754)
2103: (x,y)=(-15.53,-76.9537)
2104: (x,y)=(-16.5898,-78.6498)
2105: (x,y)=(-16.106,-80.5904)
2106: (x,y)=(-15.198,-78.8084)
2107: (x,y)=(-14.0224,-77.1904)
2108: (x,y)=(-12.0301,-77.0161)
2109: (x,y)=(-10.045,-77.2598)
2110: (x,y)=(-10.3578,-75.2844)
2111: (x,y)=(-10.2532,-77.2817)
2112: (x,y)=(-11.8712,-78.4573)
2113: (x,y)=(-11.6969,-76.4649)
2114: (x,y)=(-12.844,-74.8266)
2115: (x,y)=(-11.186,-73.7082)
2116: (x,y)=(-13.0986,-74.2929)
2117: (x,y)=(-11.2075,-74.9441)
2118: (x,y)=(-12.1465,-76.71)
2119: (x,y)=(-12.9917,-78.5226)
2120: (x,y)=(-14.9768,-78.7663)
2121: (x,y)=(-16.3151,-80.2526)
2122: (x,y)=(-18.3102,-80.3921)
2123: (x,y)=(-18.8949,-82.3047)
2124: (x,y)=(-18.9647,-84.3035)
2125: (x,y)=(-17.8463,-85.9616)
2126: (x,y)=(-16.2491,-87.1652)
2127: (x,y)=(-16.0748,-85.1728)
2128: (x,y)=(-17.8874,-86.0181)
2129: (x,y)=(-19.7417,-85.2688)
2130: (x,y)=(-19.2579,-83.3283)
2131: (x,y)=(-17.9723,-84.8603)
2132: (x,y)=(-16.7137,-86.4146)
2133: (x,y)=(-14.8866,-85.6012)
2134: (x,y)=(-13.9786,-83.8191)
2135: (x,y)=(-12.3205,-82.7008)
2136: (x,y)=(-14.2431,-83.252)
2137: (x,y)=(-15.7294,-84.5903)
2138: (x,y)=(-16.3474,-86.4924)
2139: (x,y)=(-14.3669,-86.2141)
2140: (x,y)=(-15.9641,-85.0104)
2141: (x,y)=(-17.3281,-86.4731)
2142: (x,y)=(-15.8187,-85.161)
2143: (x,y)=(-15.7838,-83.1613)
2144: (x,y)=(-16.3014,-81.2295)
2145: (x,y)=(-17.9397,-80.0823)
2146: (x,y)=(-16.5504,-78.6436)
2147: (x,y)=(-15.2918,-77.0894)
2148: (x,y)=(-15.3616,-75.0906)
2149: (x,y)=(-15.6053,-77.0757)
2150: (x,y)=(-14.7286,-75.2781)
2151: (x,y)=(-16.238,-73.966)
2152: (x,y)=(-18.0039,-73.027)
2153: (x,y)=(-16.1018,-72.409)
2154: (x,y)=(-16.9153,-70.5819)
2155: (x,y)=(-18.8715,-70.1661)
2156: (x,y)=(-17.2332,-69.0189)
2157: (x,y)=(-17.6491,-70.9752)
2158: (x,y)=(-19.0633,-72.3894)
2159: (x,y)=(-18.1243,-70.6235)
2160: (x,y)=(-19.6106,-69.2853)
2161: (x,y)=(-21.2489,-70.4324)
2162: (x,y)=(-19.7395,-71.7445)
2163: (x,y)=(-21.6305,-71.0934)
2164: (x,y)=(-20.455,-69.4754)
2165: (x,y)=(-22.4304,-69.1625)
2166: (x,y)=(-21.4914,-70.9284)
2167: (x,y)=(-23.461,-70.5811)
2168: (x,y)=(-21.679,-69.6731)
2169: (x,y)=(-21.9574,-67.6926)
2170: (x,y)=(-23.2429,-69.2247)
2171: (x,y)=(-22.335,-67.4427)
2172: (x,y)=(-24.2668,-66.925)
2173: (x,y)=(-22.4542,-67.7703)
2174: (x,y)=(-21.3358,-69.4283)
2175: (x,y)=(-21.7174,-67.4651)
2176: (x,y)=(-23.2495,-68.7506)
2177: (x,y)=(-21.9112,-70.2369)
2178: (x,y)=(-23.8338,-69.6857)
2179: (x,y)=(-22.1194,-70.7157)
2180: (x,y)=(-23.5821,-69.3517)
2181: (x,y)=(-25.5227,-68.8679)
2182: (x,y)=(-27.5215,-68.7981)
2183: (x,y)=(-26.9035,-70.7002)
2184: (x,y)=(-28.1071,-72.2975)
2185: (x,y)=(-26.3579,-71.3279)
2186: (x,y)=(-28.3384,-71.6062)
2187: (x,y)=(-30.3189,-71.3279)
2188: (x,y)=(-32.2595,-71.8117)
2189: (x,y)=(-30.5103,-72.7813)
2190: (x,y)=(-30.5801,-74.7801)
2191: (x,y)=(-29.048,-73.4945)
2192: (x,y)=(-27.2821,-74.4335)
2193: (x,y)=(-28.7448,-75.7975)
2194: (x,y)=(-27.5135,-77.3735)
2195: (x,y)=(-29.4453,-76.8559)
2196: (x,y)=(-28.1598,-75.3238)
2197: (x,y)=(-26.8477,-76.8332)
2198: (x,y)=(-28.8327,-76.5894)
2199: (x,y)=(-27.3465,-77.9277)
2200: (x,y)=(-28.0957,-76.0733)
2201: (x,y)=(-27.1877,-74.2913)
2202: (x,y)=(-28.0329,-72.4787)
2203: (x,y)=(-29.0329,-70.7467)
2204: (x,y)=(-30.4716,-72.136)
2205: (x,y)=(-32.326,-71.3868)
2206: (x,y)=(-32.7759,-73.3355)
2207: (x,y)=(-31.0985,-74.4248)
2208: (x,y)=(-30.7512,-72.4552)
2209: (x,y)=(-32.0634,-70.9457)
2210: (x,y)=(-30.0783,-71.1895)
2211: (x,y)=(-31.4423,-69.7268)
2212: (x,y)=(-30.9246,-71.6586)
2213: (x,y)=(-30.5773,-69.689)
2214: (x,y)=(-28.5922,-69.4453)
2215: (x,y)=(-30.5728,-69.7236)
2216: (x,y)=(-30.1569,-67.7673)
2217: (x,y)=(-32.0113,-67.0181)
2218: (x,y)=(-31.9764,-69.0178)
2219: (x,y)=(-33.4627,-70.3561)
2220: (x,y)=(-32.4029,-68.66)
2221: (x,y)=(-30.8268,-69.8913)
2222: (x,y)=(-32.8074,-70.1696)
2223: (x,y)=(-31.2101,-71.3733)
2224: (x,y)=(-31.5574,-69.4037)
2225: (x,y)=(-29.6553,-70.0217)
2226: (x,y)=(-31.6443,-70.2308)
2227: (x,y)=(-33.644,-70.1958)
2228: (x,y)=(-32.7673,-71.9934)
2229: (x,y)=(-31.8283,-73.7593)
2230: (x,y)=(-30.0963,-72.7593)
2231: (x,y)=(-30.4436,-70.7897)
2232: (x,y)=(-30.3041,-68.7946)
2233: (x,y)=(-31.2121,-67.0126)
2234: (x,y)=(-32.0573,-68.8252)
2235: (x,y)=(-34.0269,-69.1725)
2236: (x,y)=(-35.4896,-70.5365)
2237: (x,y)=(-37.2716,-71.4445)
2238: (x,y)=(-35.3695,-70.8264)
2239: (x,y)=(-34.3394,-72.5408)
2240: (x,y)=(-35.6516,-74.0502)
2241: (x,y)=(-33.8389,-73.2049)
2242: (x,y)=(-32.6076,-74.781)
2243: (x,y)=(-32.8514,-76.7661)
2244: (x,y)=(-33.6006,-78.6204)
2245: (x,y)=(-32.2366,-77.1577)
2246: (x,y)=(-32.4109,-75.1653)
2247: (x,y)=(-31.5656,-76.9779)
2248: (x,y)=(-29.5669,-77.0477)
2249: (x,y)=(-29.9142,-75.0781)
2250: (x,y)=(-29.1007,-73.251)
2251: (x,y)=(-27.1156,-73.4948)
2252: (x,y)=(-28.6019,-72.1565)
2253: (x,y)=(-27.2379,-70.6938)
2254: (x,y)=(-28.268,-68.9795)
2255: (x,y)=(-27.1208,-67.3412)
2256: (x,y)=(-28.9028,-66.4332)
2257: (x,y)=(-30.8782,-66.7461)
2258: (x,y)=(-29.464,-68.1603)
2259: (x,y)=(-30.3092,-66.3477)
2260: (x,y)=(-31.7234,-67.7619)
2261: (x,y)=(-29.7247,-67.8317)
2262: (x,y)=(-30.9833,-69.386)
2263: (x,y)=(-31.3991,-67.4297)
2264: (x,y)=(-32.9534,-68.6883)
2265: (x,y)=(-31.2042,-67.7187)
2266: (x,y)=(-30.6529,-65.7962)
2267: (x,y)=(-28.6724,-66.0745)
2268: (x,y)=(-30.4044,-67.0745)
2269: (x,y)=(-29.4655,-68.8404)
2270: (x,y)=(-30.0835,-66.9383)
2271: (x,y)=(-31.9629,-67.6223)
2272: (x,y)=(-32.0327,-65.6236)
2273: (x,y)=(-32.9716,-67.3894)
2274: (x,y)=(-31.5089,-68.7534)
2275: (x,y)=(-32.7126,-67.1562)
2276: (x,y)=(-33.9162,-68.7534)
2277: (x,y)=(-33.6378,-66.7729)
2278: (x,y)=(-33.4983,-68.768)
2279: (x,y)=(-33.9482,-70.7168)
2280: (x,y)=(-34.8872,-72.4827)
2281: (x,y)=(-35.0615,-70.4903)
2282: (x,y)=(-36.3997,-71.9766)
2283: (x,y)=(-34.6339,-72.9155)
2284: (x,y)=(-32.6415,-73.0898)
2285: (x,y)=(-30.6718,-72.7425)
2286: (x,y)=(-31.323,-74.6336)
2287: (x,y)=(-30.8053,-72.7017)
2288: (x,y)=(-29.1873,-71.5261)
2289: (x,y)=(-29.3268,-73.5213)
2290: (x,y)=(-31.3159,-73.3122)
2291: (x,y)=(-29.4248,-73.9634)
2292: (x,y)=(-29.7721,-71.9937)
2293: (x,y)=(-28.5685,-73.591)
2294: (x,y)=(-29.2525,-71.7116)
2295: (x,y)=(-30.066,-69.8845)
2296: (x,y)=(-28.225,-69.1031)
2297: (x,y)=(-29.589,-67.6404)
2298: (x,y)=(-27.5939,-67.5008)
2299: (x,y)=(-25.8446,-66.5312)
2300: (x,y)=(-23.9775,-67.248)
2301: (x,y)=(-25.8569,-67.932)
2302: (x,y)=(-23.8763,-68.2104)
2303: (x,y)=(-23.529,-66.2407)
2304: (x,y)=(-23.3547,-64.2483)
2305: (x,y)=(-23.529,-62.256)
2306: (x,y)=(-25.3561,-61.4425)
2307: (x,y)=(-24.326,-63.1568)
2308: (x,y)=(-26.0753,-64.1264)
2309: (x,y)=(-28.0159,-64.6103)
2310: (x,y)=(-27.3978,-62.7082)
2311: (x,y)=(-25.466,-63.2258)
2312: (x,y)=(-24.8148,-65.1168)
2313: (x,y)=(-26.81,-64.9773)
2314: (x,y)=(-28.7732,-65.3589)
2315: (x,y)=(-26.8711,-65.977)
2316: (x,y)=(-25.2738,-64.7734)
2317: (x,y)=(-23.2787,-64.9129)
2318: (x,y)=(-21.9931,-63.3808)
2319: (x,y)=(-20.1805,-62.5355)
2320: (x,y)=(-18.1854,-62.6751)
2321: (x,y)=(-19.9513,-61.7361)
2322: (x,y)=(-21.9364,-61.9798)
2323: (x,y)=(-23.5544,-63.1554)
2324: (x,y)=(-22.1651,-64.5941)
2325: (x,y)=(-20.3525,-65.4393)
2326: (x,y)=(-21.0036,-63.5483)
2327: (x,y)=(-22.883,-62.8643)
2328: (x,y)=(-20.9198,-62.4826)
2329: (x,y)=(-22.876,-62.8985)
2330: (x,y)=(-22.192,-64.7778)
2331: (x,y)=(-24.0941,-65.3959)
2332: (x,y)=(-26.0504,-64.9801)
2333: (x,y)=(-24.932,-63.322)
2334: (x,y)=(-25.7773,-65.1346)
2335: (x,y)=(-25.5335,-67.1197)
2336: (x,y)=(-26.5636,-68.834)
2337: (x,y)=(-28.2957,-67.834)
2338: (x,y)=(-30.2589,-67.4524)
2339: (x,y)=(-28.4318,-66.6389)
2340: (x,y)=(-28.6756,-68.624)
2341: (x,y)=(-26.9263,-67.6544)
2342: (x,y)=(-28.185,-66.1001)
2343: (x,y)=(-26.2044,-66.3785)
2344: (x,y)=(-25.9954,-68.3675)
2345: (x,y)=(-27.793,-69.2442)
2346: (x,y)=(-26.6174,-70.8623)
2347: (x,y)=(-25.499,-72.5204)
2348: (x,y)=(-24.591,-70.7383)
2349: (x,y)=(-26.1231,-69.4528)
2350: (x,y)=(-27.5124,-68.0141)
2351: (x,y)=(-29.5097,-68.1188)
2352: (x,y)=(-31.4987,-68.3278)
2353: (x,y)=(-29.8807,-69.5034)
2354: (x,y)=(-29.7412,-71.4985)
2355: (x,y)=(-30.3259,-73.4111)
2356: (x,y)=(-29.6092,-75.2783)
2357: (x,y)=(-29.9565,-77.2479)
2358: (x,y)=(-28.2244,-78.2479)
2359: (x,y)=(-30.2232,-78.1781)
2360: (x,y)=(-28.9111,-79.6875)
2361: (x,y)=(-30.2232,-78.1781)
2362: (x,y)=(-28.7845,-79.5674)
2363: (x,y)=(-28.0353,-77.7131)
2364: (x,y)=(-29.0654,-75.9987)
2365: (x,y)=(-27.0764,-76.2078)
2366: (x,y)=(-25.7908,-74.6757)
2367: (x,y)=(-25.206,-76.5883)
2368: (x,y)=(-27.1186,-76.0036)
2369: (x,y)=(-27.1186,-74.0036)
2370: (x,y)=(-28.9457,-74.817)
2371: (x,y)=(-27.0331,-74.2323)
2372: (x,y)=(-27.6512,-76.1344)
2373: (x,y)=(-27.1335,-78.0662)
2374: (x,y)=(-25.5362,-76.8626)
2375: (x,y)=(-23.5666,-77.2099)
2376: (x,y)=(-22.8826,-79.0893)
2377: (x,y)=(-24.7498,-79.806)
2378: (x,y)=(-24.033,-77.9389)
2379: (x,y)=(-25.609,-79.1702)
2380: (x,y)=(-23.6103,-79.1004)
2381: (x,y)=(-25.5421,-79.618)
2382: (x,y)=(-23.8278,-78.588)
2383: (x,y)=(-21.8387,-78.3789)
2384: (x,y)=(-19.8497,-78.1698)
2385: (x,y)=(-17.8497,-78.1698)
2386: (x,y)=(-19.564,-79.1999)
2387: (x,y)=(-17.673,-79.8511)
2388: (x,y)=(-16.3874,-81.3831)
2389: (x,y)=(-17.563,-83.0012)
2390: (x,y)=(-19.454,-83.6523)
2391: (x,y)=(-17.4844,-83.9996)
2392: (x,y)=(-18.4233,-85.7655)
2393: (x,y)=(-17.5466,-83.9679)
2394: (x,y)=(-15.8885,-82.8495)
2395: (x,y)=(-14.6572,-81.2735)
2396: (x,y)=(-12.6575,-81.3084)
2397: (x,y)=(-13.8611,-79.7111)
2398: (x,y)=(-13.0159,-77.8985)
2399: (x,y)=(-14.328,-79.408)
2400: (x,y)=(-14.8119,-77.4674)
2401: (x,y)=(-15.0209,-75.4783)
2402: (x,y)=(-13.3826,-76.6255)
2403: (x,y)=(-11.5555,-75.812)
2404: (x,y)=(-13.3048,-74.8424)
2405: (x,y)=(-14.8808,-76.0737)
2406: (x,y)=(-15.9992,-74.4156)
2407: (x,y)=(-15.0296,-76.1649)
2408: (x,y)=(-13.0344,-76.3044)
2409: (x,y)=(-11.1801,-77.0536)
2410: (x,y)=(-11.3891,-79.0426)
2411: (x,y)=(-12.9212,-77.7571)
2412: (x,y)=(-12.6775,-79.7421)
2413: (x,y)=(-12.6426,-81.7418)
2414: (x,y)=(-11.9258,-79.8747)
2415: (x,y)=(-11.6475,-81.8552)
2416: (x,y)=(-12.6776,-83.5696)
2417: (x,y)=(-10.6852,-83.7439)
2418: (x,y)=(-8.88758,-84.6206)
2419: (x,y)=(-8.20354,-82.7412)
2420: (x,y)=(-6.97221,-81.1652)
2421: (x,y)=(-5.82506,-79.5269)
2422: (x,y)=(-5.92973,-81.5242)
2423: (x,y)=(-4.99079,-79.7583)
2424: (x,y)=(-6.99048,-79.7932)
2425: (x,y)=(-7.54176,-81.7157)
2426: (x,y)=(-5.58546,-82.1315)
2427: (x,y)=(-6.3022,-83.9987)
2428: (x,y)=(-6.81984,-82.0668)
2429: (x,y)=(-8.72195,-82.6849)
2430: (x,y)=(-9.92558,-84.2821)
2431: (x,y)=(-11.1569,-82.7061)
2432: (x,y)=(-10.5722,-84.6187)
2433: (x,y)=(-12.4743,-84.0007)
2434: (x,y)=(-11.9904,-82.0601)
2435: (x,y)=(-13.3025,-83.5695)
2436: (x,y)=(-12.7178,-81.6569)
2437: (x,y)=(-14.6304,-81.0722)
2438: (x,y)=(-13.7224,-79.2901)
2439: (x,y)=(-12.8145,-77.5081)
2440: (x,y)=(-12.5361,-75.5276)
2441: (x,y)=(-12.5012,-77.5273)
2442: (x,y)=(-12.5361,-75.5276)
2443: (x,y)=(-13.6254,-77.2049)
2444: (x,y)=(-11.7844,-77.9864)
2445: (x,y)=(-12.3356,-76.0639)
2446: (x,y)=(-13.9537,-77.2394)
2447: (x,y)=(-14.505,-79.162)
2448: (x,y)=(-16.4455,-78.6781)
2449: (x,y)=(-18.3582,-79.2629)
2450: (x,y)=(-19.4765,-77.6048)
2451: (x,y)=(-21.3559,-78.2888)
2452: (x,y)=(-19.7379,-77.1133)
2453: (x,y)=(-21.2473,-78.4254)
2454: (x,y)=(-19.3929,-77.6762)
2455: (x,y)=(-17.4124,-77.3978)
2456: (x,y)=(-16.5044,-75.6158)
2457: (x,y)=(-15.8204,-73.7364)
2458: (x,y)=(-17.761,-74.2203)
2459: (x,y)=(-19.2237,-72.8563)
2460: (x,y)=(-20.6864,-71.4923)
2461: (x,y)=(-19.8412,-73.3049)
2462: (x,y)=(-21.5732,-74.3049)
2463: (x,y)=(-22.0571,-76.2455)
2464: (x,y)=(-23.6751,-75.0699)
2465: (x,y)=(-23.8494,-73.0775)
2466: (x,y)=(-22.6738,-74.6956)
2467: (x,y)=(-24.4397,-73.7566)
2468: (x,y)=(-25.8539,-75.1708)
2469: (x,y)=(-24.7356,-73.5127)
2470: (x,y)=(-25.3536,-75.4149)
2471: (x,y)=(-25.8712,-73.483)
2472: (x,y)=(-26.456,-71.5704)
2473: (x,y)=(-28.1333,-70.4811)
2474: (x,y)=(-26.5573,-69.2498)
2475: (x,y)=(-24.5722,-69.0061)
2476: (x,y)=(-25.9362,-67.5434)
2477: (x,y)=(-27.6323,-66.4835)
2478: (x,y)=(-29.095,-65.1195)
2479: (x,y)=(-30.8609,-64.1806)
2480: (x,y)=(-30.8609,-62.1806)
2481: (x,y)=(-29.0483,-63.0258)
2482: (x,y)=(-27.0559,-63.2001)
2483: (x,y)=(-27.9639,-61.4181)
2484: (x,y)=(-29.8549,-62.0692)
2485: (x,y)=(-31.167,-60.5598)
2486: (x,y)=(-30.259,-58.7778)
2487: (x,y)=(-30.0847,-56.7854)
2488: (x,y)=(-31.3434,-55.2311)
2489: (x,y)=(-32.313,-53.4819)
2490: (x,y)=(-34.2935,-53.2035)
2491: (x,y)=(-32.3914,-53.8216)
2492: (x,y)=(-32.4612,-55.8204)
2493: (x,y)=(-33.7468,-54.2883)
2494: (x,y)=(-31.7835,-53.9067)
2495: (x,y)=(-31.3336,-51.9579)
2496: (x,y)=(-32.6192,-50.4258)
2497: (x,y)=(-33.4007,-52.2668)
2498: (x,y)=(-33.4356,-54.2665)
2499: (x,y)=(-34.8743,-52.8772)
2500: (x,y)=(-35.6235,-54.7316)
2501: (x,y)=(-37.2207,-55.9352)
2502: (x,y)=(-36.504,-54.0681)
2503: (x,y)=(-36.5389,-52.0684)
2504: (x,y)=(-35.9209,-53.9705)
2505: (x,y)=(-34.5067,-55.3847)
2506: (x,y)=(-35.0243,-53.4528)
2507: (x,y)=(-36.0243,-51.7208)
2508: (x,y)=(-35.7459,-49.7402)
2509: (x,y)=(-36.0932,-47.7706)
2510: (x,y)=(-37.3788,-49.3027)
2511: (x,y)=(-38.1923,-47.4756)
2512: (x,y)=(-38.5396,-49.4452)
2513: (x,y)=(-37.9216,-51.3474)
2514: (x,y)=(-39.6177,-52.4072)
2515: (x,y)=(-37.7266,-51.7561)
2516: (x,y)=(-39.0649,-53.2423)
2517: (x,y)=(-38.9254,-55.2375)
2518: (x,y)=(-37.2293,-56.2973)
2519: (x,y)=(-36.7454,-54.3567)
2520: (x,y)=(-38.2997,-55.6154)
2521: (x,y)=(-38.8174,-53.6835)
2522: (x,y)=(-37.0198,-52.8068)
2523: (x,y)=(-38.4091,-51.3681)
2524: (x,y)=(-38.7564,-49.3985)
2525: (x,y)=(-40.5223,-48.4595)
2526: (x,y)=(-40.1065,-46.5032)
2527: (x,y)=(-38.3921,-45.4732)
2528: (x,y)=(-37.8745,-47.405)
2529: (x,y)=(-36.0925,-46.497)
2530: (x,y)=(-37.9468,-45.7478)
2531: (x,y)=(-39.2055,-47.3021)
2532: (x,y)=(-39.7567,-49.2246)
2533: (x,y)=(-41.5388,-50.1326)
2534: (x,y)=(-39.7117,-50.9461)
2535: (x,y)=(-38.7421,-52.6953)
2536: (x,y)=(-37.8653,-50.8977)
2537: (x,y)=(-39.814,-51.3476)
2538: (x,y)=(-40.6908,-49.5501)
2539: (x,y)=(-41.4075,-51.4172)
2540: (x,y)=(-39.485,-50.8659)
2541: (x,y)=(-37.8269,-49.7476)
2542: (x,y)=(-39.4242,-50.9512)
2543: (x,y)=(-41.2652,-50.1697)
2544: (x,y)=(-42.9426,-49.0804)
2545: (x,y)=(-43.1863,-47.0954)
2546: (x,y)=(-45.1814,-46.9558)
2547: (x,y)=(-47.1811,-46.9209)
2548: (x,y)=(-46.1811,-48.653)
2549: (x,y)=(-44.3685,-47.8077)
2550: (x,y)=(-42.8364,-46.5222)
2551: (x,y)=(-40.9954,-45.7407)
2552: (x,y)=(-41.3427,-43.7711)
2553: (x,y)=(-42.2194,-45.5687)
2554: (x,y)=(-41.2194,-43.8366)
